date;cash_type;money;coffee_name
01/03/2024;card;38.7;Latte
01/03/2024;card;38.7;Hot Chocolate
01/03/2024;card;38.7;Hot Chocolate
01/03/2024;card;28.9;Americano
01/03/2024;card;38.7;Latte
01/03/2024;card;33.8;Americano with Milk
01/03/2024;card;38.7;Hot Chocolate
01/03/2024;card;33.8;Americano with Milk
01/03/2024;card;38.7;Cocoa
01/03/2024;card;33.8;Americano with Milk
01/03/2024;card;33.8;Americano with Milk
02/03/2024;card;28.9;Americano
02/03/2024;cash;40.0;Latte
02/03/2024;card;33.8;Americano with Milk
02/03/2024;card;33.8;Americano with Milk
02/03/2024;card;28.9;Americano
02/03/2024;card;33.8;Americano with Milk
02/03/2024;card;28.9;Americano
03/03/2024;cash;40.0;Latte
03/03/2024;card;38.7;Latte
03/03/2024;card;28.9;Cortado
03/03/2024;card;28.9;Americano
03/03/2024;card;38.7;Hot Chocolate
03/03/2024;card;38.7;Cocoa
03/03/2024;card;28.9;Cortado
03/03/2024;card;33.8;Americano with Milk
03/03/2024;card;33.8;Americano with Milk
03/03/2024;card;38.7;Hot Chocolate
04/03/2024;card;38.7;Latte
04/03/2024;card;38.7;Latte
04/03/2024;card;33.8;Americano with Milk
04/03/2024;card;24.0;Espresso
05/03/2024;card;38.7;Latte
05/03/2024;card;38.7;Latte
05/03/2024;card;38.7;Latte
05/03/2024;card;38.7;Hot Chocolate
05/03/2024;card;38.7;Cocoa
05/03/2024;card;38.7;Hot Chocolate
05/03/2024;card;38.7;Hot Chocolate
05/03/2024;card;28.9;Cortado
05/03/2024;card;38.7;Hot Chocolate
06/03/2024;cash;35.0;Americano with Milk
06/03/2024;card;28.9;Americano
06/03/2024;card;28.9;Cortado
06/03/2024;card;38.7;Cappuccino
06/03/2024;card;38.7;Cappuccino
07/03/2024;cash;40.0;Latte
07/03/2024;card;38.7;Hot Chocolate
07/03/2024;card;38.7;Latte
07/03/2024;cash;40.0;Latte
07/03/2024;card;28.9;Americano
07/03/2024;card;33.8;Americano with Milk
08/03/2024;card;28.9;Cortado
08/03/2024;card;38.7;Cappuccino
08/03/2024;card;28.9;Americano
08/03/2024;card;28.9;Americano
08/03/2024;card;28.9;Americano
08/03/2024;card;33.8;Americano with Milk
08/03/2024;card;38.7;Latte
08/03/2024;card;38.7;Latte
09/03/2024;cash;40.0;Hot Chocolate
09/03/2024;card;24.0;Espresso
09/03/2024;card;28.9;Americano
09/03/2024;card;38.7;Cappuccino
09/03/2024;card;28.9;Americano
09/03/2024;card;28.9;Americano
09/03/2024;card;38.7;Latte
09/03/2024;card;33.8;Americano with Milk
09/03/2024;card;28.9;Cortado
09/03/2024;card;38.7;Cappuccino
09/03/2024;card;33.8;Americano with Milk
09/03/2024;card;38.7;Hot Chocolate
09/03/2024;card;38.7;Cappuccino
09/03/2024;card;38.7;Hot Chocolate
10/03/2024;cash;30.0;Americano
10/03/2024;cash;35.0;Americano with Milk
10/03/2024;cash;40.0;Latte
10/03/2024;card;24.0;Espresso
10/03/2024;cash;35.0;Americano with Milk
10/03/2024;card;38.7;Latte
10/03/2024;card;28.9;Cortado
11/03/2024;cash;40.0;Latte
11/03/2024;cash;40.0;Cappuccino
11/03/2024;cash;30.0;Cortado
11/03/2024;cash;30.0;Americano
11/03/2024;card;38.7;Cappuccino
11/03/2024;card;28.9;Americano
11/03/2024;card;38.7;Latte
